file,resolution,url,date
2022-09-01_PS-00582-2021.txt,PS-00582-2021,https://www.aepd.es/es/documento/ps-00582-2021.pdf,2022-09-01T10:05:23Z
2022-09-01_PS-00144-2022.txt,PS-00144-2022,https://www.aepd.es/es/documento/ps-00144-2022.pdf,2022-09-01T09:51:29Z
2022-09-01_PS-00210-2022.txt,PS-00210-2022,https://www.aepd.es/es/documento/ps-00210-2022.pdf,2022-09-01T09:51:06Z
2022-08-31_AI-00272-2022.txt,AI-00272-2022,https://www.aepd.es/es/documento/ai-00272-2022.pdf,2022-08-31T09:56:15Z
2022-08-31_PS-00134-2022.txt,PS-00134-2022,https://www.aepd.es/es/documento/ps-00134-2022.pdf,2022-08-31T09:31:08Z
2022-08-31_PD-00085-2022.txt,PD-00085-2022,https://www.aepd.es/es/documento/pd-00085-2022.pdf,2022-08-31T09:07:23Z
2022-09-06_PD-00108-2022.txt,PD-00108-2022,https://www.aepd.es/es/documento/pd-00108-2022.pdf,2022-09-06T12:42:56Z
2022-09-06_PS-00071-2022.txt,PS-00071-2022,https://www.aepd.es/es/documento/ps-00071-2022.pdf,2022-09-06T12:42:08Z
2022-09-06_PS-00073-2022.txt,PS-00073-2022,https://www.aepd.es/es/documento/ps-00073-2022.pdf,2022-09-06T10:17:31Z
2022-09-06_PD-00147-2022.txt,PD-00147-2022,https://www.aepd.es/es/documento/pd-00147-2022.pdf,2022-09-06T10:16:30Z
2022-09-06_PS-00178-2022.txt,PS-00178-2022,https://www.aepd.es/es/documento/ps-00178-2022.pdf,2022-09-06T09:46:32Z
2022-09-06_PD-00114-2022.txt,PD-00114-2022,https://www.aepd.es/es/documento/pd-00114-2022.pdf,2022-09-06T09:43:30Z
2022-09-02_PS-00528-2021.txt,PS-00528-2021,https://www.aepd.es/es/documento/ps-00528-2021.pdf,2022-09-02T09:50:46Z
2022-09-02_PD-00115-2022.txt,PD-00115-2022,https://www.aepd.es/es/documento/pd-00115-2022.pdf,2022-09-02T09:49:23Z
2022-09-08_PD-00127-2022.txt,PD-00127-2022,https://www.aepd.es/es/documento/pd-00127-2022.pdf,2022-09-08T10:23:33Z
2022-09-08_PS-00614-2021.txt,PS-00614-2021,https://www.aepd.es/es/documento/ps-00614-2021.pdf,2022-09-08T10:22:06Z
2022-09-08_PS-00069-2022.txt,PS-00069-2022,https://www.aepd.es/es/documento/ps-00069-2022.pdf,2022-09-08T10:20:50Z
2022-09-07_PD-00110-2022.txt,PD-00110-2022,https://www.aepd.es/es/documento/pd-00110-2022.pdf,2022-09-07T10:57:30Z
2022-09-07_E-08752-2021.txt,E-08752-2021,https://www.aepd.es/es/documento/e-08752-2021.pdf,2022-09-07T10:19:43Z
2022-09-07_AI-00128-2022.txt,AI-00128-2022,https://www.aepd.es/es/documento/ai-00128-2022.pdf,2022-09-07T10:18:24Z
2022-09-07_PS-00261-2022.txt,PS-00261-2022,https://www.aepd.es/es/documento/ps-00261-2022.pdf,2022-09-07T09:56:30Z
2022-09-07_PS-00027-2022.txt,PS-00027-2022,https://www.aepd.es/es/documento/ps-00027-2022.pdf,2022-09-07T09:54:49Z
2022-09-07_REPOSICION-PS-00071-2022.txt,REPOSICION-PS-00071-2022,https://www.aepd.es/es/documento/reposicion-ps-00071-2022.pdf,2022-09-07T09:51:17Z
2022-09-12_AI-00002-2022.txt,AI-00002-2022,https://www.aepd.es/es/documento/ai-00002-2022.pdf,2022-09-12T09:55:15Z
2022-09-09_PS-00172-2022.txt,PS-00172-2022,https://www.aepd.es/es/documento/ps-00172-2022.pdf,2022-09-09T13:06:20Z
2022-09-09_PS-00150-2022.txt,PS-00150-2022,https://www.aepd.es/es/documento/ps-00150-2022.pdf,2022-09-09T12:48:45Z
2022-09-09_PS-00030-2022.txt,PS-00030-2022,https://www.aepd.es/es/documento/ps-00030-2022.pdf,2022-09-09T12:47:54Z
2022-09-09_PS-00020-2022.txt,PS-00020-2022,https://www.aepd.es/es/documento/ps-00020-2022.pdf,2022-09-09T12:47:29Z
2022-09-13_PS-00203-2022.txt,PS-00203-2022,https://www.aepd.es/es/documento/ps-00203-2022.pdf,2022-09-13T09:18:41Z
2022-09-13_PS-00115-2022.txt,PS-00115-2022,https://www.aepd.es/es/documento/ps-00115-2022.pdf,2022-09-13T09:18:16Z
2022-09-13_PS-00090-2022.txt,PS-00090-2022,https://www.aepd.es/es/documento/ps-00090-2022.pdf,2022-09-13T09:13:21Z
2022-09-12_REPOSICION-PS-00172-2022.txt,REPOSICION-PS-00172-2022,https://www.aepd.es/es/documento/reposicion-ps-00172-2022.pdf,2022-09-12T10:02:13Z
2022-09-12_REPOSICION-E-07109-2021.txt,REPOSICION-E-07109-2021,https://www.aepd.es/es/documento/reposicion-e-07109-2021.pdf,2022-09-12T10:00:22Z
2022-09-12_PS-00066-2022.txt,PS-00066-2022,https://www.aepd.es/es/documento/ps-00066-2022.pdf,2022-09-12T09:59:47Z
2022-09-12_PS-00050-2022.txt,PS-00050-2022,https://www.aepd.es/es/documento/ps-00050-2022.pdf,2022-09-12T09:59:04Z
2022-09-12_PD-00077-2022.txt,PD-00077-2022,https://www.aepd.es/es/documento/pd-00077-2022.pdf,2022-09-12T09:58:31Z
2022-09-12_E-11717-2021.txt,E-11717-2021,https://www.aepd.es/es/documento/e-11717-2021.pdf,2022-09-12T09:57:59Z
2022-09-12_E-07799-2021.txt,E-07799-2021,https://www.aepd.es/es/documento/e-07799-2021.pdf,2022-09-12T09:57:35Z
2022-09-20_E-08306-2021-1.txt,E-08306-2021-1,https://www.aepd.es/es/documento/e-08306-2021-1.pdf,2022-09-20T10:06:34Z
2022-09-19_PD-00157-2022.txt,PD-00157-2022,https://www.aepd.es/es/documento/pd-00157-2022.pdf,2022-09-19T12:53:25Z
2022-09-19_PD-00126-2022.txt,PD-00126-2022,https://www.aepd.es/es/documento/pd-00126-2022.pdf,2022-09-19T12:52:58Z
2022-09-19_PD-00125-2022.txt,PD-00125-2022,https://www.aepd.es/es/documento/pd-00125-2022.pdf,2022-09-19T12:52:34Z
2022-09-19_PS-00356-2022.txt,PS-00356-2022,https://www.aepd.es/es/documento/ps-00356-2022.pdf,2022-09-19T09:40:29Z
2022-09-19_PD-00093-2022.txt,PD-00093-2022,https://www.aepd.es/es/documento/pd-00093-2022.pdf,2022-09-19T09:36:55Z
2022-09-19_PS-00170-2022.txt,PS-00170-2022,https://www.aepd.es/es/documento/ps-00170-2022.pdf,2022-09-19T09:12:24Z
2022-09-19_PD-00100-2022.txt,PD-00100-2022,https://www.aepd.es/es/documento/pd-00100-2022.pdf,2022-09-19T09:11:54Z
2022-09-20_REPOSICION-PS-00129-2020.txt,REPOSICION-PS-00129-2020,https://www.aepd.es/es/documento/reposicion-ps-00129-2020.pdf,2022-09-20T10:54:06Z
2022-09-20_PS-00149-2022.txt,PS-00149-2022,https://www.aepd.es/es/documento/ps-00149-2022.pdf,2022-09-20T10:50:06Z
2022-09-20_REPOSICION-PS-00626-2021.txt,REPOSICION-PS-00626-2021,https://www.aepd.es/es/documento/reposicion-ps-00626-2021.pdf,2022-09-20T10:24:08Z
2022-09-20_PS-00021-2022.txt,PS-00021-2022,https://www.aepd.es/es/documento/ps-00021-2022.pdf,2022-09-20T10:22:53Z
2022-09-20_AI-00298-2022.txt,AI-00298-2022,https://www.aepd.es/es/documento/ai-00298-2022.pdf,2022-09-20T10:22:14Z
2022-09-20_REPOSICION-PD-00100-2022.txt,REPOSICION-PD-00100-2022,https://www.aepd.es/es/documento/reposicion-pd-00100-2022.pdf,2022-09-20T10:15:40Z
2022-09-20_AI-00223-2022.txt,AI-00223-2022,https://www.aepd.es/es/documento/ai-00223-2022.pdf,2022-09-20T10:15:06Z
2022-09-20_PS-00024-2022.txt,PS-00024-2022,https://www.aepd.es/es/documento/ps-00024-2022.pdf,2022-09-20T10:14:19Z
2022-09-20_E-08307-2021.txt,E-08307-2021,https://www.aepd.es/es/documento/e-08307-2021.pdf,2022-09-20T10:07:53Z
2022-09-20_E-08306-2021-2.txt,E-08306-2021-2,https://www.aepd.es/es/documento/e-08306-2021-2.pdf,2022-09-20T10:07:29Z
2022-09-22_PD-00136-2022.txt,PD-00136-2022,https://www.aepd.es/es/documento/pd-00136-2022.pdf,2022-09-22T11:54:15Z
2022-09-22_PS-00379-2021.txt,PS-00379-2021,https://www.aepd.es/es/documento/ps-00379-2021.pdf,2022-09-22T09:56:07Z
2022-09-22_PD-00130-2022.txt,PD-00130-2022,https://www.aepd.es/es/documento/pd-00130-2022.pdf,2022-09-22T09:28:35Z
2022-09-21_PD-00133-2022.txt,PD-00133-2022,https://www.aepd.es/es/documento/pd-00133-2022.pdf,2022-09-21T16:42:44Z
2022-09-21_PS-00509-2021.txt,PS-00509-2021,https://www.aepd.es/es/documento/ps-00509-2021.pdf,2022-09-21T13:20:17Z
2022-09-21_PS-00341-2022.txt,PS-00341-2022,https://www.aepd.es/es/documento/ps-00341-2022.pdf,2022-09-21T10:48:50Z
2022-09-21_PS-00525-2021.txt,PS-00525-2021,https://www.aepd.es/es/documento/ps-00525-2021.pdf,2022-09-21T09:46:48Z
